Address description,Price,Rooms,Rooms detailed,Surface area,Bathrooms,Floor,House type,Total building floors,Year of construction,Condition,Energy Efficiency,URL
"4-room flat corso VITTORIO EMANUELE II 62, Via Roma, Turin","€ 600,000",4,"4 (2 bedrooms, 2 others), 2 bathrooms, kitchen diner",200 m²,2,"4°, with lift",Apartment | Full ownership | Stately property class,4 floors,1850,Excellent / Refurbished,B,https://www.immobiliare.it/en/annunci/98568350/
"3-room flat via Valgioie 83, Parella, Turin","€ 240,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen diner",100 m²,,"1°, with lift",Apartment | Full ownership | Stately property class,7 floors,1970,Excellent / Refurbished,B,https://www.immobiliare.it/en/annunci/100135300/
"Apartment corso Regina Margherita 153, San Donato, Turin","€ 229,000",5,"5 (3 bedrooms, 2 others), 2 bathrooms, kitchen diner",100 m² - See detail,2,"2 floors: Semi-basement, 4°, with lift, with disabled access",Apartment | Full ownership | Medium property class,4 floors,1950,Excellent / Refurbished,F,https://www.immobiliare.it/en/annunci/99924722/
"3-room flat via Rochemolles 4, Parella, Turin","€ 178,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen nook",95 m²,,"2°, with lift",Apartment | Full ownership | Medium property class,5 floors,1960,Excellent / Refurbished,D,https://www.immobiliare.it/en/annunci/101074579/
"3-room flat corso Unione Sovietica 415, Mirafiori Sud - Onorato Vigliani, Turin","€ 130,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchenette",78 m²,,"5°, with lift",Apartment | Full ownership | Medium property class,9 floors,1970,To be refurbished,G,https://www.immobiliare.it/en/annunci/100038984/
"Apartment corso Giacomo Matteotti 47, Cittadella, Turin","€ 790,000",5,"5 (3 bedrooms, 2 others), 2 bathrooms, kitchen diner",182 m² - See detail,2,"2 floors: Basement (-1), 3°, with lift",Apartment | Full ownership | Stately property class,5 floors,1877,Excellent / Refurbished,E,https://www.immobiliare.it/en/annunci/99518778/
"4-room flat via SAN MARINO 73, Santa Rita, Turin","€ 210,000",4,"4 (3 bedrooms, 1 other), 1 bathroom, kitchenette",109 m²,,"1°, with lift",Apartment | Full ownership | Medium property class,7 floors,1960,Good condition / Liveable,G,https://www.immobiliare.it/en/annunci/100014436/
"Penthouse via Pavone 3, Borgo Vittoria, Turin","€ 206,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchenette",94 m² | commercial 115.5 m² - See detail,,"5°, with lift, with disabled access",Penthouse | Full ownership | Stately property class,5 floors,2003,Good condition / Liveable,D,https://www.immobiliare.it/en/annunci/99874804/
"3-room flat via Michele Coppino 79, Borgo Vittoria, Turin","€ 95,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchenette",90 m²,,"5°, with lift",Apartment | Full ownership | Medium property class,6 floors,1970,Good condition / Liveable,G,https://www.immobiliare.it/en/annunci/97980142/
"Apartment corso Monte Cucco, 81, Pozzo Strada, Turin","€ 315,000",5+,"5+ (4 bedrooms, 2 others), 2 bathrooms, kitchen diner",180 m²,2,"1°, with lift",Apartment | Full ownership | Stately property class,10 floors,1971,Good condition / Liveable,G,https://www.immobiliare.it/en/annunci/101283957/
"3-room flat corso Principe Eugenio 1, Cittadella, Turin","€ 180,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen diner",95 m² - See detail,,"2 floors: Semi-basement, 2°, with lift",Apartment | Full ownership | Stately property class,5 floors,1969,To be refurbished,G,https://www.immobiliare.it/en/annunci/101155679/
"Apartment via Giordano Bruno 106, Lingotto, Turin","€ 345,000",5,"5 (3 bedrooms, 2 others), 2 bathrooms, kitchen diner",179 m²,2,"1°, with lift",Apartment | Full ownership | Stately property class,7 floors,1972,Excellent / Refurbished,E,https://www.immobiliare.it/en/annunci/99503754/
"4-room flat via Giovanni Servais 93/37, Parella, Turin","€ 278,000",4,"4 (2 bedrooms, 2 others), 2 bathrooms, kitchen diner",130 m²,2,"2°, with lift",Apartment | Full ownership | Medium property class,7 floors,1970,Excellent / Refurbished,C,https://www.immobiliare.it/en/annunci/100659065/
"3-room flat via Tunisi 3, Lingotto, Turin","€ 115,000",3,"3 (1 bedroom, 2 others), 1 bathroom, kitchen diner",60 m²,,"5°, with lift",Apartment | Full ownership | Medium property class,7 floors,1955,Excellent / Refurbished,E,https://www.immobiliare.it/en/annunci/100768641/
"2-room flat via Gian Francesco Bellezia 5, Quadrilatero Romano, Turin","€ 210,000",2,"2 (1 bedroom, 1 other), 1 bathroom, kitchen diner",70 m² - See detail,,"3 floors: from Basement (-2) to Basement (-1), 2°, with lift, with disabled access",Apartment | Full ownership | Stately property class,3 floors,1800,Excellent / Refurbished,G,https://www.immobiliare.it/en/annunci/101413803/
"4-room flat via Levanna 6, Campidoglio, Turin","€ 245,000",4,"4 (2 bedrooms, 2 others), 2 bathrooms, kitchen diner",134 m²,2,"4°, with lift",Apartment | Full ownership | Stately property class,4 floors,1965,Good condition / Liveable,E,https://www.immobiliare.it/en/annunci/99108128/
"2-room flat corso Regina Margherita 205/bis, San Donato, Turin","€ 199,750",2,"2 (1 bedroom, 1 other), 2 bathrooms, open kitchen",72 m²,2,"5°, with lift",Apartment | Full ownership | Stately property class,6 floors,1934,Excellent / Refurbished,D,https://www.immobiliare.it/en/annunci/100516392/
"Single family villa via Principessa Clotilde 82, San Donato, Turin","€ 273,000",5+,"5+ (3 bedrooms, 3 others), 2 bathrooms, kitchen diner",130 m²,2,Ground floor,Single family villa | Full ownership | Stately property class,1 floor,1900,To be refurbished,E,https://www.immobiliare.it/en/annunci/101244853/
"3-room flat corso Siracusa 44, Santa Rita, Turin","€ 239,000",3,"3 (2 bedrooms, 1 other), 2 bathrooms, kitchen diner",90 m²,2,"7°, with lift",Apartment | Full ownership | Medium property class,8 floors,1970,Excellent / Refurbished,E,https://www.immobiliare.it/en/annunci/100817481/
"3-room flat via Principessa Clotilde 77, San Donato, Turin","€ 144,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen diner",68 m²,,"2°, with lift",Apartment | Full ownership | Stately property class,5 floors,1920,Good condition / Liveable,E,https://www.immobiliare.it/en/annunci/98693620/
"Apartment via Galliate, Parella, Turin","€ 498,000",5+,"5+ (3 bedrooms, 4 others), 2 bathrooms, kitchen diner",240 m²,2,"2°, with lift, with disabled access",Apartment | Full ownership | Stately property class,3 floors,1962,Good condition / Liveable,F,https://www.immobiliare.it/en/annunci/100106390/
"4-room flat via Camburzano, 7, 10143, Campidoglio, Turin","€ 348,000",4,"4 (3 bedrooms, 1 other), 2 bathrooms, kitchen diner",123 m²,2,"2°, with lift",Apartment | Full ownership | Economic property class,4 floors,1950,Excellent / Refurbished,F,https://www.immobiliare.it/en/annunci/101595339/
"4-room flat corso Massimo d'Azeglio 114, San Salvario - Dante, Turin","€ 265,000",4,"4 (2 bedrooms, 2 others), 1 bathroom, kitchen diner",112 m²,,"3°, with lift",Apartment | Full ownership | Stately property class,8 floors,1955,Good condition / Liveable,E,https://www.immobiliare.it/en/annunci/100533646/
"4-room flat corso Regina Margherita 121, Quadrilatero Romano, Turin","€ 189,000",4,"4 (3 bedrooms, 1 other), 1 bathroom, kitchen nook",70 m²,,3°,Apartment | Full ownership | Medium property class,5 floors,1900,Good condition / Liveable,D,https://www.immobiliare.it/en/annunci/101244343/
"3-room flat corso Unione Sovietica 91, Santa Rita, Turin","€ 228,000",3,"3 (2 bedrooms, 1 other), 2 bathrooms, open kitchen",90 m²,2,"4°, with lift",Apartment | Full ownership | Medium property class,9 floors,1965,Excellent / Refurbished,G,https://www.immobiliare.it/en/annunci/101276235/
"3-room flat via Antonio Pigafetta 40, Crocetta, Turin","€ 378,000",3,"3 (2 bedrooms, 1 other), 2 bathrooms, open kitchen",116 m²,2,"4°, with lift",Apartment | Full ownership | Medium property class,4 floors,1820,Excellent / Refurbished,,https://www.immobiliare.it/en/annunci/100158768/
"3-room flat via Saluzzo 22, San Salvario - Baretti, Turin","€ 218,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, open kitchen",84 m²,,"1°, with lift",Apartment | Full ownership | Medium property class,5 floors,1970,Excellent / Refurbished,D,https://www.immobiliare.it/en/annunci/101299899/
"Apartment via Palmiro Togliatti 13, Mirafiori Sud - Onorato Vigliani, Turin","€ 130,000",5,"5 (3 bedrooms, 2 others), 2 bathrooms, kitchen diner",120 m²,2,"8°, with lift",Apartment | Full ownership | Medium property class,10 floors,1975,To be refurbished,A1,https://www.immobiliare.it/en/annunci/101475519/
"4-room flat via Gian Domenico Cassini 64, Crocetta, Turin","€ 359,000",4,"4 (3 bedrooms, 1 other), 2 bathrooms, open kitchen",130 m²,2,"1°, with lift",Apartment | Full ownership | Medium property class,5 floors,1958,Excellent / Refurbished,,https://www.immobiliare.it/en/annunci/100205174/
"4-room flat via Giambattista Bogino, 25, 10123, Via Roma, Turin","€ 650,000",4,"4 (3 bedrooms, 1 other), 1 bathroom, kitchen diner",177 m²,,1°,Apartment | Full ownership,4 floors,1800,To be refurbished,D,https://www.immobiliare.it/en/annunci/101386571/
"Apartment via Ugo Foscolo 30, San Salvario - Dante, Turin","€ 415,000",5+,"5+ (3 bedrooms, 3 others), 3 bathrooms, kitchen diner",188 m²,3,"1°, with lift",Apartment | Full ownership | Stately property class,5 floors,1939,To be refurbished,F,https://www.immobiliare.it/en/annunci/100758779/
"Apartment via Giambattista Bogino, 25, 10123, Via Roma, Turin","€ 1,040,000",5,"5 (3 bedrooms, 2 others), 3 bathrooms, kitchen diner",275 m²,3,1°,Apartment | Full ownership,4 floors,1800,To be refurbished,D,https://www.immobiliare.it/en/annunci/101386575/
"4-room flat via Salvatore Cognetti De Martiis 48, Lucento, Turin","€ 95,000",4,"4 (2 bedrooms, 2 others), 1 bathroom, kitchen diner",95 m²,,3°,Apartment | Full ownership | Medium property class,3 floors,1970,Good condition / Liveable,E,https://www.immobiliare.it/en/annunci/97629474/
"3-room flat corso Regina Margherita 205/bis, San Donato, Turin","€ 168,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, open kitchen",71 m²,,"3°, with lift",Apartment | Full ownership | Stately property class,6 floors,1934,Excellent / Refurbished,D,https://www.immobiliare.it/en/annunci/97120752/
"Apartment via Massena 14, Crocetta, Turin","€ 350,000",5,"5 (1 bedroom, 4 others), 1 bathroom, open kitchen",164 m²,,"2°, with lift",Apartment | Full ownership | Medium property class,4 floors,1867,Excellent / Refurbished,,https://www.immobiliare.it/en/annunci/99896844/
"Penthouse via Filadelfia 149, Santa Rita, Turin","€ 448,000",5,"5 (3 bedrooms, 2 others), 2 bathrooms, kitchen diner",160 m²,2,"10°, with lift",Penthouse | Full ownership | Medium property class,10 floors,1960,Excellent / Refurbished,,https://www.immobiliare.it/en/annunci/101325649/
"Apartment via Oslavia 48, Vanchiglietta, Turin","€ 240,000",5+,"5+ (4 bedrooms, 2 others), 3 bathrooms, kitchen diner",203 m²,3,Mezzanine,Apartment | Full ownership | Medium property class,5 floors,1950,Good condition / Liveable,,https://www.immobiliare.it/en/annunci/101586247/
"4-room flat corso Trapani 40, Pozzo Strada, Turin","€ 358,000",4,"4 (3 bedrooms, 1 other), 2 bathrooms, open kitchen",135 m²,2,"4°, with lift",Apartment | Full ownership | Medium property class,7 floors,1964,Excellent / Refurbished,,https://www.immobiliare.it/en/annunci/101316405/
"2-room flat via Cigliano 3, Vanchiglietta, Turin","€ 88,000",2,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",45 m²,,2°,Apartment | Full ownership | Medium property class,3 floors,1900,Excellent / Refurbished,G,https://www.immobiliare.it/en/annunci/101375057/
"2-room flat via Accademia Albertina 3, Via della Rocca, Turin","€ 240,000",2,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",50 m²,,"6°, with lift",Apartment | Full ownership | Stately property class,7 floors,1920,Excellent / Refurbished,,https://www.immobiliare.it/en/annunci/101339757/
"Penthouse corso Cadore 46, Vanchiglietta, Turin","€ 450,000",4,"4 (3 bedrooms, 1 other), 2 bathrooms, open kitchen",125 m²,2,"7°, with lift",Penthouse | Full ownership | Medium property class,7 floors,1950,Excellent / Refurbished,G,https://www.immobiliare.it/en/annunci/101312611/
"4-room flat via Bardonecchia 95, Pozzo Strada, Turin","€ 338,000",4,"4 (3 bedrooms, 1 other), 2 bathrooms, open kitchen",135 m²,2,"2°, with lift",Apartment | Full ownership | Medium property class,7 floors,1970,Excellent / Refurbished,D,https://www.immobiliare.it/en/annunci/101299603/
"Apartment corso Trapani 60, Pozzo Strada, Turin","€ 398,000",5,"5 (4 bedrooms, 1 other), 2 bathrooms, open kitchen",152 m²,2,"3°, with lift",Apartment | Full ownership | Medium property class,8 floors,1965,Excellent / Refurbished,,https://www.immobiliare.it/en/annunci/99725118/
"2-room flat via Muzio Clementi 35, Barriera di Milano, Turin","€ 105,000",2,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",40 m²,,"4°, with lift",Apartment | Full ownership | Medium property class,7 floors,1865,Excellent / Refurbished,G,https://www.immobiliare.it/en/annunci/99481192/
"4-room flat via Bianzè 42, Campidoglio, Turin","€ 295,000",4,"4 (2 bedrooms, 2 others), 2 bathrooms, open kitchen",115 m²,2,"3°, with lift",Apartment | Full ownership | Medium property class,4 floors,1920,Excellent / Refurbished,,https://www.immobiliare.it/en/annunci/101322695/
"3-room flat corso Vittorio Emanuele II 5, San Salvario - Baretti, Turin","€ 398,000",3,"3 (2 bedrooms, 1 other), 2 bathrooms, open kitchen",102 m²,2,"3°, with lift",Apartment | Full ownership | Medium property class,6 floors,1960,Excellent / Refurbished,D,https://www.immobiliare.it/en/annunci/101313445/
"Apartment via Accademia Albertina 3, Via della Rocca, Turin","€ 740,000",5,"5 (3 bedrooms, 2 others), 2 bathrooms, kitchen diner",166 m²,2,"6°, with lift",Apartment | Full ownership | Stately property class,7 floors,1920,Excellent / Refurbished,,https://www.immobiliare.it/en/annunci/101342531/
"3-room flat via Buenos Aires 70, Santa Rita, Turin","€ 98,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, open kitchen",70 m²,,5°,Apartment | Full ownership | Medium property class,5 floors,1964,Excellent / Refurbished,,https://www.immobiliare.it/en/annunci/100175444/
"3-room flat via Tripoli 100, Santa Rita, Turin","€ 149,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen diner",90 m²,,"4°, with lift",Apartment | Full ownership | Medium property class,7 floors,1960,Good condition / Liveable,E,https://www.immobiliare.it/en/annunci/98937860/
"Apartment via Principessa Felicita di Savoia 8/10, Gran Madre - Crimea, Turin","€ 1,490,000",5+,"5+ (3 bedrooms, 7 others), 3 bathrooms, kitchen diner",450 m²,3,"Ground floor, with lift",Apartment | Full ownership | Luxury property,2 floors,1800,Excellent / Refurbished,D,https://www.immobiliare.it/en/annunci/64536588/
"3-room flat via Quart 10, Pozzo Strada, Turin","€ 130,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchenette",67 m²,,"5°, with lift",Apartment | Full ownership | Medium property class,5 floors,1960,Good condition / Liveable,G,https://www.immobiliare.it/en/annunci/100739325/
"2-room flat corso Peschiera 297, Pozzo Strada, Turin","€ 158,000",2,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",62 m²,,"7°, with lift",Apartment | Full ownership | Medium property class,7 floors,1965,Excellent / Refurbished,D,https://www.immobiliare.it/en/annunci/101299101/
"3-room flat via Ozegna 2, Barriera di Milano, Turin","€ 59,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen diner",63 m²,,Mezzanine,Apartment | Full ownership | Medium property class,3 floors,1930,Excellent / Refurbished,E,https://www.immobiliare.it/en/annunci/101127353/
"4-room flat corso Alessandro Tassoni 79/5, Campidoglio, Turin","€ 272,000",4,"4 (2 bedrooms, 2 others), 2 bathrooms, kitchen diner",140 m²,2,"8°, with lift",Apartment | Full ownership | Stately property class,9 floors,1970,Good condition / Liveable,D,https://www.immobiliare.it/en/annunci/101455819/
"3-room flat corso Rodolfo Montevecchio 35, Crocetta, Turin","€ 770,000",3,"3 (2 bedrooms, 1 other), 3 bathrooms, kitchen diner",265 m²,3,"3°, with lift, with disabled access",Apartment | Full ownership | Stately property class,3 floors,1967,Good condition / Liveable,F,https://www.immobiliare.it/en/annunci/87277810/
"3-room flat corso Moncalieri 271, Cavoretto, Turin","€ 335,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen nook",87 m²,,"3°, with lift",Apartment | Full ownership | Luxury property,5 floors,2017,New / Under construction,A,https://www.immobiliare.it/en/annunci/62910082/
"4-room flat via Bologna, 101, Barriera di Milano, Turin","€ 189,000",4,"4 (2 bedrooms, 2 others), 2 bathrooms, kitchen diner",137 m²,2,"10°, with lift",Apartment | Full ownership | Medium property class,10 floors,1975,Excellent / Refurbished,D,https://www.immobiliare.it/en/annunci/101622055/
"4-room flat via Paolo Sarpi 134, Mirafiori Nord, Turin","€ 259,000",4,"4 (2 bedrooms, 2 others), 1 bathroom, kitchen diner",98 m²,,"2° floor, with lift, with disabled access",Apartment | Full ownership,7 floors,2015,New / Under construction,B,https://www.immobiliare.it/en/annunci/100602534/
"Apartment corso Duca degli Abruzzi 33, Crocetta, Turin","€ 855,000",5+,"5+ (8 bedrooms, 3 others), 3 bathrooms, kitchen diner",302 m²,3,"1° floor, with lift, with disabled access",Apartment | Full ownership | Stately property class,4 floors,1900,Good condition / Liveable,E,https://www.immobiliare.it/en/annunci/99658652/
"3-room flat via Santhià 42, Barriera di Milano, Turin","€ 115,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchenette",92 m²,,"3°, with lift",Apartment | Full ownership | Medium property class,5 floors,1968,Good condition / Liveable,F,https://www.immobiliare.it/en/annunci/101553503/
"Penthouse corso mediterraneo 124, Crocetta, Turin","€ 595,000",4,"4 (2 bedrooms, 2 others), 2 bathrooms, kitchen diner",130 m²,2,"8°, with lift",Penthouse | Full ownership | Medium property class,8 floors,1960,Excellent / Refurbished,G,https://www.immobiliare.it/en/annunci/100050010/
"4-room flat corso GIULIO CESARE  122, Barriera di Milano, Turin","€ 119,000",4,"4 (2 bedrooms, 2 others), 1 bathroom, kitchen diner",109 m²,,"4° floor, with lift",Apartment,5 floors,1930,Good condition / Liveable,,https://www.immobiliare.it/en/annunci/100616167/
"4-room flat corso Re Umberto 40, Crocetta, Turin","€ 265,000",4,"4 (3 bedrooms, 1 other), 1 bathroom, open kitchen",82 m²,,"3°, with lift",Apartment | Full ownership | Medium property class,5 floors,1860,Excellent / Refurbished,G,https://www.immobiliare.it/en/annunci/101344573/
"4-room flat via Exilles 65, Parella, Turin","€ 268,000",4,"4 (3 bedrooms, 1 other), 2 bathrooms, kitchen diner",115 m²,2,"2°, with lift",Apartment | Full ownership | Stately property class,4 floors,,Excellent / Refurbished,E,https://www.immobiliare.it/en/annunci/101246295/
"3-room flat viale 25 Aprile 168, Cavoretto, Turin","€ 550,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen diner",123 m² | commercial 140 m² - See detail,,"2 floors: Basement (-2), 1°",Apartment | Full ownership | Stately property class,1 floor,1960,Excellent / Refurbished,,https://www.immobiliare.it/en/annunci/98802932/
"4-room flat via Marco Polo, Crocetta, Turin","€ 420,000",4,"4 (2 bedrooms, 2 others), 1 bathroom, kitchen diner",110 m²,,4° floor,Apartment | Full ownership | Stately property class,6 floors,,Excellent / Refurbished,,https://www.immobiliare.it/en/annunci/100850057/
"Apartment corso Vittorio Emanuele II 64, Piazza Solferino, Turin","€ 620,000",5+,"5+ (3 bedrooms, 3 others), 2 bathrooms, kitchen diner",180 m²,2,"4° floor, with lift",Apartment | Full ownership | Stately property class,5 floors,1910,Excellent / Refurbished,E,https://www.immobiliare.it/en/annunci/101321585/
"4-room flat via Monte Rosa 123, Barriera di Milano, Turin","€ 118,000",4,"4 (3 bedrooms, 1 other), 1 bathroom, kitchen nook",100 m²,,"5°, with lift, with disabled access",Apartment | Full ownership | Medium property class,5 floors,1960,Good condition / Liveable,F,https://www.immobiliare.it/en/annunci/100673277/
"3-room flat corso Monte Cucco 127/5, Pozzo Strada, Turin","€ 65,000",3,"3 (1 bedroom, 2 others), 2 bathrooms, kitchen diner",90 m²,2,Ground floor,Apartment | Full ownership | Medium property class,5 floors,1970,To be refurbished,F,https://www.immobiliare.it/en/annunci/101470461/
"3-room flat corso Unione Sovietica 409, Mirafiori Sud - Onorato Vigliani, Turin","€ 170,000",3,"3 (1 bedroom, 2 others), 1 bathroom, open kitchen",82 m²,,"9°, with lift, with disabled access",Apartment | Full ownership | Medium property class,15 floors,1970,Excellent / Refurbished,,https://www.immobiliare.it/en/annunci/101341907/
"4-room flat via ARPINO 23, Pozzo Strada, Turin","€ 209,000",4,"4 (2 bedrooms, 2 others), 2 bathrooms, kitchen diner",87 m²,2,"4° floor, with lift",Apartment,5 floors,1999,Good condition / Liveable,G,https://www.immobiliare.it/en/annunci/101363323/
"4-room flat via Vittorio Alfieri 22, Piazza Solferino, Turin","€ 684,000",4,"4 (2 bedrooms, 2 others), 2 bathrooms, open kitchen",149 m²,2,"2°, with lift, with disabled access",Apartment | Full ownership | Stately property class,5 floors,1900,Excellent / Refurbished,A,https://www.immobiliare.it/en/annunci/100507792/
"2-room flat new, second floor, Cavoretto, Turin","€ 177,000",2,"2 (1 bedroom, 1 other), 1 bathroom, kitchen nook",51 m²,,"2°, with lift, with disabled access",Apartment | Full ownership | Luxury property,4 floors,2019,New / Under construction,A,https://www.immobiliare.it/en/annunci/62269938/
"Apartment via Eleonora d'Arborea 9, Mirafiori Nord, Turin","€ 255,000",5,"5 (3 bedrooms, 2 others), 2 bathrooms, kitchen diner",147 m²,2,"1° floor, with lift",Apartment | Full ownership | Stately property class,5 floors,1970,Good condition / Liveable,,https://www.immobiliare.it/en/annunci/100514328/
"4-room flat via Frejus 102, Cenisia, Turin","€ 200,000",4,"4 (2 bedrooms, 2 others), 1 bathroom, kitchen nook",110 m²,,"4°, with lift",Apartment | Full ownership | Medium property class,6 floors,1962,Excellent / Refurbished,G,https://www.immobiliare.it/en/annunci/101082213/
"Apartment corso Peschiera, Pozzo Strada, Turin","€ 650,000",5,"5 (3 bedrooms, 2 others), 3 bathrooms, kitchen diner",176 m² | commercial 191 m² - See detail,3,"6°, with lift, with disabled access",Apartment | Full ownership | Stately property class,9 floors,2022,New / Under construction,A4,https://www.immobiliare.it/en/annunci/99832892/
"2-room flat via Lodovico Antonio Muratori 12, San Salvario - Dante, Turin","€ 218,000",2,"2 (1 bedroom, 1 other), 1 bathroom, kitchenette",60 m²,,"2°, with lift, with disabled access",Apartment | Full ownership | Stately property class,7 floors,2003,Excellent / Refurbished,G,https://www.immobiliare.it/en/annunci/101581171/
"3-room flat via Valentino Carrera 74, Parella, Turin","€ 139,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen diner",75 m²,,"4°, with lift",Apartment | Full ownership | Medium property class,5 floors,1960,To be refurbished,F,https://www.immobiliare.it/en/annunci/100764121/
"Apartment via Ventimiglia 71, Nizza Millefonti, Turin","€ 419,000",5,"5 (3 bedrooms, 2 others), 2 bathrooms, kitchen diner",160 m²,2,"4°, with lift",Apartment | Full ownership | Stately property class,7 floors,1970,Good condition / Liveable,F,https://www.immobiliare.it/en/annunci/100347266/
"4-room flat via Biella 13, Aurora, Turin","€ 125,000",4,"4 (2 bedrooms, 2 others), 1 bathroom, kitchen diner",95 m²,,1°,Apartment | Full ownership | Economic property class,3 floors,1910,Good condition / Liveable,E,https://www.immobiliare.it/en/annunci/101456425/
"3-room flat corso Giulio Cesare 24, Aurora, Turin","€ 135,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen diner",93 m²,,"5°, with lift, with disabled access",Apartment | Full ownership | Economic property class,5 floors,1912,To be refurbished,E,https://www.immobiliare.it/en/annunci/101294643/
"Apartment Strada Val Salice 227/7, Colle della Maddalena, Turin","€ 395,000",5,"5 (3 bedrooms, 2 others), 3 bathrooms, kitchen diner",230 m²,3,"1°, with lift",Apartment | Full ownership | Stately property class,4 floors,1970,Good condition / Liveable,F,https://www.immobiliare.it/en/annunci/100355676/
"4-room flat via Luigi Lagrange 35, Via Roma, Turin","€ 1,145,000",4,"4 (3 bedrooms, 1 other), 2 bathrooms, open kitchen",156 m²,2,"4°, with lift, with disabled access",Apartment | Full ownership | Luxury property,5 floors,2024,New / Under construction,A,https://www.immobiliare.it/en/annunci/100326862/
"3-room flat via Luigi Lagrange 35, Via Roma, Turin","€ 454,000",3,"3 (1 bedroom, 2 others), 2 bathrooms, open kitchen",68 m²,2,"2°, with lift, with disabled access",Apartment | Full ownership | Luxury property,5 floors,2024,New / Under construction,A,https://www.immobiliare.it/en/annunci/100326140/
